SiteName,MonitorDate,Concentration,ItemUnit
汐止,2018-04-14,19,μg/m3
基隆,2018-04-14,15,μg/m3
馬公,2018-04-11,15,μg/m3
金門,2018-04-11,24,μg/m3
馬祖,2018-04-11,30,μg/m3
宜蘭,2018-04-11,15,μg/m3
陽明,2018-04-11,19,μg/m3
花蓮,2018-04-11,10,μg/m3
臺東,2018-04-11,7,μg/m3
恆春,2018-04-11,5,μg/m3
屏東,2018-04-11,13,μg/m3
前金,2018-04-11,14,μg/m3
美濃,2018-04-11,14,μg/m3
臺南,2018-04-11,17,μg/m3
新營,2018-04-11,19,μg/m3
嘉義,2018-04-11,17,μg/m3
朴子,2018-04-11,21,μg/m3
斗六,2018-04-11,20,μg/m3
南投,2018-04-11,26,μg/m3
彰化,2018-04-11,24,μg/m3
忠明,2018-04-11,22,μg/m3
豐原,2018-04-11,23,μg/m3
三義,2018-04-11,24,μg/m3
苗栗,2018-04-11,22,μg/m3
新竹,2018-04-11,22,μg/m3
竹東,2018-04-11,27,μg/m3
平鎮,2018-04-11,26,μg/m3
桃園,2018-04-11,31,μg/m3
萬華,2018-04-11,24,μg/m3
士林,2018-04-11,22,μg/m3
板橋,2018-04-11,31,μg/m3
汐止,2018-04-11,23,μg/m3
基隆,2018-04-11,19,μg/m3
馬公,2018-04-08,20,μg/m3
金門,2018-04-08,32,μg/m3
馬祖,2018-04-08,27,μg/m3
宜蘭,2018-04-08,18,μg/m3
陽明,2018-04-08,15,μg/m3
花蓮,2018-04-08,19,μg/m3
臺東,2018-04-08,19,μg/m3
恆春,2018-04-08,17,μg/m3
屏東,2018-04-08,28,μg/m3
前金,2018-04-08,26,μg/m3
美濃,2018-04-08,24,μg/m3
臺南,2018-04-08,22,μg/m3
新營,2018-04-08,21,μg/m3
嘉義,2018-04-08,22,μg/m3
朴子,2018-04-08,21,μg/m3
斗六,2018-04-08,26,μg/m3
南投,2018-04-08,24,μg/m3
彰化,2018-04-08,,μg/m3
忠明,2018-04-08,19,μg/m3
豐原,2018-04-08,18,μg/m3
三義,2018-04-08,19,μg/m3
苗栗,2018-04-08,18,μg/m3
新竹,2018-04-08,20,μg/m3
竹東,2018-04-08,18,μg/m3
平鎮,2018-04-08,20,μg/m3
桃園,2018-04-08,20,μg/m3
萬華,2018-04-08,18,μg/m3
士林,2018-04-08,17,μg/m3
板橋,2018-04-08,19,μg/m3
汐止,2018-04-08,18,μg/m3
基隆,2018-04-08,16,μg/m3
馬公,2018-04-05,20,μg/m3
金門,2018-04-05,25,μg/m3
馬祖,2018-04-05,26,μg/m3
宜蘭,2018-04-05,,μg/m3
陽明,2018-04-05,20,μg/m3
花蓮,2018-04-05,11,μg/m3
臺東,2018-04-05,10,μg/m3
恆春,2018-04-05,10,μg/m3
屏東,2018-04-05,26,μg/m3
前金,2018-04-05,20,μg/m3
美濃,2018-04-05,28,μg/m3
臺南,2018-04-05,28,μg/m3
新營,2018-04-05,31,μg/m3
嘉義,2018-04-05,39,μg/m3
朴子,2018-04-05,41,μg/m3
斗六,2018-04-05,35,μg/m3
南投,2018-04-05,33,μg/m3
彰化,2018-04-05,34,μg/m3
忠明,2018-04-05,29,μg/m3
豐原,2018-04-05,29,μg/m3
三義,2018-04-05,31,μg/m3
苗栗,2018-04-05,27,μg/m3
新竹,2018-04-05,24,μg/m3
竹東,2018-04-05,27,μg/m3
平鎮,2018-04-05,,μg/m3
桃園,2018-04-05,,μg/m3
萬華,2018-04-05,22,μg/m3
士林,2018-04-05,21,μg/m3
板橋,2018-04-05,,μg/m3
汐止,2018-04-05,,μg/m3
基隆,2018-04-05,,μg/m3
馬公,2018-04-02,30,μg/m3
金門,2018-04-02,47,μg/m3
馬祖,2018-04-02,30,μg/m3
宜蘭,2018-04-02,23,μg/m3
陽明,2018-04-02,32,μg/m3
花蓮,2018-04-02,21,μg/m3
臺東,2018-04-02,18,μg/m3
恆春,2018-04-02,18,μg/m3
屏東,2018-04-02,25,μg/m3
前金,2018-04-02,26,μg/m3
美濃,2018-04-02,22,μg/m3
臺南,2018-04-02,24,μg/m3
新營,2018-04-02,29,μg/m3
嘉義,2018-04-02,29,μg/m3
朴子,2018-04-02,31,μg/m3
斗六,2018-04-02,33,μg/m3
南投,2018-04-02,32,μg/m3
